ICD CODE,DESCRIPTION
E892,postprocedural hypoparathyroidism
R824,acetonuria
N871,moderate cervical dysplasia
J986,disorders of diaphragm
S352,injury of coeliac or mesenteric artery
I81,portal vein thrombosis
E1469,unspecified diabetes mellitus with other specified complication
M2369,"other spontaneous disruption of ligament(s) of knee, unspecified ligament or unspecified meniscus"
D215,other benign neoplasms of connective and other soft tissue of pelvis
M328,other forms of systemic lupus erythematosus
M4297,"unspecified spinal osteochondrosis, lumbosacral region"
M911,juvenile osteochondrosis of head of femur [legg-calv?-perthes]
D159,"benign neoplasm of intrathoracic organ, unspecified"
M1929,"other secondary arthrosis, site unspecified"
M0590,"seropositive rheumatoid arthritis, unspecified, multiple sites"
M4800,"spinal stenosis, multiple sites in spine"
K621,rectal polyp
M4052,"unspecified lordosis, cervical region"
E877,fluid overload
M2521,"flail joint, shoulder region"
I629,"intracranial haemorrhage (nontraumatic), unspecified"
B749,"filariasis, unspecified"
D330,"benign neoplasm of brain , supratentorial"
M181,other primary arthrosis of first carpometacarpal joint
H700,acute mastoiditis
H959,"postprocedural disorder of ear and mastoid process, unspecified"
T241,"erythema of hip and lower limb, except ankle and foot"
B300,keratoconjunctivitis due to adenovirus
L599,"disorder of skin and subcutaneous tissue related to radiation, unspecified"
M2425,"disorder of ligament, pelvic region and thigh"
M2505,"haemarthrosis, pelvic region and thigh"
M6645,"spontaneous rupture of other tendons, pelvic region and thigh"
G710,muscular dystrophy
M0688,"other specified rheumatoid arthritis, other site"
Z969,"presence of functional implant, unspecified"
S910,open wound of ankle
I899,"noninfective disorder of lymphatic vessels and lymph nodes, unspecified"
F659,"disorder of sexual preference, unspecified"
M8128,"osteoporosis of disuse, other site"
L9109,hypertrophic scar due to other specified cause
D683,haemorrhagic disorder due to circulating anticoagulants
Q862,dysmorphism due to warfarin
H182,other corneal oedema
E1365,other specified diabetes mellitus with poor control
R161,"splenomegaly, not elsewhere classified"
N184,"chronic kidney disease, stage 4"
M6806,"synovitis and tenosynovitis in bacterial diseases classified elsewhere, lower leg"
D236,"other benign neoplasms of skin of upper limb, including shoulder"
R825,"elevated urine levels of drugs, medicaments and biological substances"
D171,benign lipomatous neoplasm of skin and subcutaneous tissue of trunk
H71,cholesteatoma of middle ear
J201,acute bronchitis due to haemophilus influenzae
S436,sprain and strain of sternoclavicular joint
M7384,"other soft tissue disorders in diseases classified elsewhere, hand"
M6727,"synovial hypertrophy, not elsewhere classified, ankle and foot"
Q8924,thyroglossal cyst
D440,neoplasm of uncertain or unknown behaviour of thyroid gland
N480,leukoplakia of penis
M1904,"primary arthrosis of other joints, hand"
D069,"carcinoma in situ of cervix, unspecified"
S0155,open wound of palate
M6809,"synovitis and tenosynovitis in bacterial diseases classified elsewhere, site unspecified"
S0150,"open wound of mouth, part unspecified"
S0055,"superficial injury of lip and oral cavity, contusion"
N431,infected hydrocele
L240,irritant contact dermatitis due to detergents
M6229,"ischaemic infarction of muscle, site unspecified"
T147,crushing injury and traumatic amputation of unspecified body region
F522,failure of genital response
G558,nerve root and plexus compressions in other diseases classified elsewhere
K4000,"bilateral inguinal hernia, with obstruction, without gangrene, not specified as recurrent"
J47,bronchiectasis
M8089,"other osteoporosis with pathological fracture, site unspecified"
M8439,"stress fracture, not elsewhere classified, site unspecified"
M1259,"traumatic arthropathy, site unspecified"
M5411,"radiculopathy, occipito-atlanto-axial region"
M1030,"gout due to impairment of renal function, multiple sites"
B9688,other and unspecified bacterial agents as the cause of diseases classified to other chapters
M7983,"other specified soft tissue disorders, forearm"
D293,benign neoplasm of epididymis
T2104,burn of unspecified thickness of back [any part]
U605,golf
E1132,type 2 diabetes mellitus with preproliferative retinopathy
M925,juvenile osteochondrosis of tibia and fibula
Z360,antenatal screening for chromosomal anomalies
T2102,"burn of unspecified thickness of chest wall, excluding breast and nipple thorax [external]"
V2210,"motorcycle rider injured in collision with two- or three-wheeled motor vehicle, passenger, nontraffic accident, motor-scooter, moped or motorised bicycle"
E012,"iodine-deficiency-related (endemic) goitre, unspecified"
S667,injury of multiple extensor muscles and tendons at wrist and hand level
Y589,other and unspecified bacterial vaccines causing adverse effects in therapeutic use
T3110,"burns involving 10-19% of body surface, with less than 10 % or unspecified full thickness burns"
G454,transient global amnesia
I455,other specified heart block
D441,neoplasm of uncertain or unknown behaviour of adrenal gland
E350,disorders of thyroid gland in diseases classified elsewhere
L750,bromhidrosis
M8149,"drug-induced osteoporosis, site unspecified"
S7311,sprain and strain of iliofemoral (ligament)
K4031,"unilateral or unspecified inguinal hernia, with obstruction, without gangrene, recurrent"
Z724,inappropriate diet and eating habits
I342,nonrheumatic mitral (valve) stenosis
B269,mumps without complication
M4705,"anterior spinal and vertebral artery compression syndromes, thoracolumbar region (g99.2*)"
N040,"nephrotic syndrome, minor glomerular abnormality"
I700,atherosclerosis of aorta
S5219,other and multiple fractures of upper end of radius
M1994,"arthrosis, unspecified, hand"
A182,tuberculous peripheral lymphadenopathy
K113,abscess of salivary gland
M2428,"disorder of ligament, other site"
A6309,"anogenital (venereal) warts, other site"
G479,"sleep disorder, unspecified"
I120,hypertensive renal disease with renal failure
N271,"small kidney, bilateral"
D560,alpha thalassaemia
W46,contact with hypodermic needle
K598,other specified functional intestinal disorders
H749,"disorder of middle ear and mastoid, unspecified"
R636,insufficient intake of food and water due to self neglect
S0137,open wound of ear drum
Q444,choledochal cyst
I051,rheumatic mitral insufficiency
S6234,fracture of head of other metacarpal bone(s)
T8903,other complications of open wounds
N001,"acute nephritic syndrome, focal and segmental glomerular lesions"
B689,"taeniasis, unspecified"
S564,injury of extensor muscle and tendon of other finger(s) at forearm level
F3291,"depressive episode, unspecified, arising in the postnatal period"
F3280,"other depressive episodes, not specified as arising in the postnatal period"
E1312,"other specified diabetes mellitus with ketoacidosis, with coma"
O149,"pre-eclampsia, unspecified"
L258,unspecified contact dermatitis due to other agents
Z101,routine general health check-up of inhabitants of institutions
S463,injury of muscle and tendon of triceps
M6259,"muscle wasting and atrophy, not elsewhere classified, site unspecified"
M2124,"flexion deformity, hand"
G570,lesion of sciatic nerve
I978,"other postprocedural disorders of circulatory system, not elsewhere classified"
K564,other impaction of intestine
K388,other specified diseases of appendix
M7990,"unspecified soft tissue disorder, multiple sites"
S617,multiple open wounds of wrist and hand
T043,crushing injuries involving multiple regions of lower limb(s)
B488,other specified mycoses
M6234,"immobility syndrome (paraplegic), hand"
R823,haemoglobinuria
M8798,"unspecified osteonecrosis, other site"
M7999,"unspecified soft tissue disorder, site unspecified"
S140,concussion and oedema of cervical spinal cord
D100,benign neoplasm of lip
S562,injury of other flexor muscle and tendon at forearm level
C793,secondary malignant neoplasm of brain and cerebral meninges
L852,keratosis punctata (palmaris et plantaris)
M2528,"flail joint, other site"
R2989,other and unspecified symptoms and signs involving the musculoskeletal system
N501,vascular disorders of male genital organs
R200,anaesthesia of skin
H356,retinal haemorrhage
M0604,"seronegative rheumatoid arthritis, hand"
I800,phlebitis and thrombophlebitis of superficial vessels of lower extremities
K079,"dentofacial anomaly, unspecified"
Q183,webbing of neck
M6028,"foreign body granuloma of soft tissue, not elsewhere classified, other site"
K5752,"diverticulitis of both small and large intestine without perforation, abscess or mention of haemorrhage"
M0698,"rheumatoid arthritis, unspecified, other site"
M1385,"other specified arthritis, pelvic region and thigh"
M6510,"other infective (teno)synovitis, multiple sites"
M1911,"post-traumatic arthrosis of other joints, shoulder region"
B355,tinea imbricata
N270,"small kidney, unilateral"
S8354,rupture of posterior cruciate ligament
M2589,"other specified joint disorders, site unspecified"
M5398,"unspecified dorsopathy, sacral and sacrococcygeal region"
S0122,open wound of nares (nostril)
M0738,"other psoriatic arthropathies, other site (l40.5+)"
T922,sequelae of fracture at wrist and hand level
E1421,unspecified diabetes mellitus with incipient diabetic nephropathy
O342,maternal care due to uterine scar from previous surgery
L234,allergic contact dermatitis due to dyes
D582,other haemoglobinopathies
F339,"recurrent depressive disorder, unspecified"
J324,chronic pansinusitis
F3200,"mild depressive episode, not specified as arising in the postnatal period"
D489,"neoplasm of uncertain or unknown behaviour, unspecified"
P741,dehydration of newborn
Z125,special screening examination for neoplasm of prostate
I272,other secondary pulmonary hypertension
S8241,fracture of upper end of fibula
Z100,occupational health examination
K109,"disease of jaws, unspecified"
H219,"disorder of iris and ciliary body, unspecified"
K721,chronic hepatic failure
M4124,"other idiopathic scoliosis, thoracic region"
M4794,"unspecified spondylosis, thoracic region"
Z888,"personal history of allergy to other drugs, medicaments and biological substances"
F3210,"moderate depressive episode, not specified as arising in the postnatal period"
R857,"abnormal findings in specimens from digestive organs and abdominal cavity, abnormal histological findings"
H150,scleritis
E1041,type 1 diabetes mellitus with diabetic mononeuropathy
L923,foreign body granuloma of skin and subcutaneous tissue
R650,systemic inflammatory response syndrome [sirs]of infection origin without acute organ failure
T233,full thickness burn of wrist and hand
E1042,type 1 diabetes mellitus with diabetic polyneuropathy
L86,keratoderma in diseases classified elsewhere
B518,plasmodium vivax malaria with other complications
S017,multiple open wounds of head
M0710,"arthritis mutilans, multiple sites (l40.5+)"
N131,"hydronephrosis with ureteral stricture, not elsewhere classified"
M2504,"haemarthrosis, hand"
A35,other tetanus
T490,"poisoning by local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified"
M2454,"contracture of joint, hand"
L909,"atrophic disorder of skin, unspecified"
T484,poisoning by expectorants
L402,acrodermatitis continua
L231,allergic contact dermatitis due to adhesives
M311,thrombotic microangiopathy
F428,other obsessive-compulsive disorders
A488,other specified bacterial diseases
